PRS ng mga NNC  | siya ng mga paruparo | true false false true
PRS ng isang NNC  | ako ng isang tupa | true false false true
VBTS pa niya :  | idinagdag pa niya : | true false false false
tao sa mga NNC  | tao sa mga disyerto | false false false true
ang lahat ng NNC  | ang lahat ng tao | false false false true
RBI PRS sa PRSP  | naman siya sa akin | true true false true
PRS sa PRSP :  | siya sa akin : | true false true false
QOT VBW sa kanya  | QOT sabi sa kanya | false true false false
VBW sa kanya ng  | sabi sa kanya ng | true false false false
niya sa NNC ,  | niya sa wakas , | false false true false
sa kanya ng NNC  | sa kanya ng hari | false false false true
sa NNC , QOT  | sa wakas , QOT | false true false false
QOT VBAF ang munting  | QOT sumagot ang munting | false true false false
munting prinsipe na VBTR  | munting prinsipe na nalilito | false false false true
PRS , RBF PRS  | ako , hindi ko | true false true true
hindi ko na RBI  | hindi ko na kaya | false false false true
QOT VBW naman ng  | QOT sabi naman ng | false true false false
QOT sumagot ang NNC  | QOT sumagot ang hari | false false false true
At VBTS RBI PRS  | At nagdrowing nga ako | false true true true
Hindi PRS VBTR ang  | Hindi niya kinukunsinti ang | false true true false
VBAF ang PRSP NNC  | Ngumiti ang aking kaibigan | true false true true
ang PRSP NNC na  | ang aking kaibigan na | false true true false
NNC na JJD ang  | kaibigan na magaan ang | true false true false
na JJD ang NNC  | na magaan ang loob | false true false true
QOT RBD RBD ng  | QOT nakikiming tanong ng | false true true false
May mga NNC PRS  | May mga sungay siya | false false true true
VBTR PRS sa PRSP  | Iniuutos ko sa iyong | true true false true
JJD RBI ang NNC  | Ubos na ang pasensya | true true false true
RBI ang NNC PRS  | na ang pasensya ko | true false true true
PRS VBW ang NNC  | n'yo sana ang pagtatanong | true true false true
NNC PRS VBTS :  | pahabol kong sinabi : | true true true false
, JJCS ng NNC  | , napakaliit ng lugar | false true false true
QOT VBW ng munting  | QOT sabi ng munting | false true false false
ang VBTS ko sa  | ang ibinigay ko sa | false true false false
VBW ng munting prinsipe  | sabi ng munting prinsipe | true false false false
VBTS PRS sa PRSP  | ibinigay ko sa 'yo | true true false true
QOT VBW ng mga  | QOT sabi ng mga | false true false false
ang NNC na PRO  | ang bagay na iyan | false true false true
At makikita PRS kung  | At makikita mo kung | false false true false
makikita PRS kung RBQ  | makikita mo kung paano | false true false true
VBAF PRS na JJD  | sumagot ako na medyo | true true false true
ng NNC ng NNC  | ng puno ng mansanas | false true false true
PRS RBI sa NNC  | ka rin sa langit | true true false true
kong VBOF ang NNC  | kong naliwanagan ang hiwaga | false true false true
Ano ang VBS VBOF  | Ano ang ibig sabihin | false false true true
VBTR ko ang mga  | Hinahanap ko ang mga | true false false false
At VBTS PRS PRS  | At tinanong ko siya | false true true true
CCT hindi siya sumagot  | Pero hindi siya sumagot | true false false false
VBOF ang NNC ko  | dalhin ang tupa ko | true false true false
sa PRSP ang NNC  | sa kanya ang hari | false true false true
VBTR ang PRSP NNC  | humalakhak ang aking kaibigan | true false true true
ang PRSP NNC :  | ang aking kaibigan : | false true true false
QOT VBTS ng munting  | QOT sinabi ng munting | false true false false
Dere-deretso sa harap PRS  | Dere-deretso sa harap niya | false false false true
PRS PRS sa NNC  | ko siya sa gabi | true true false true
RBD RBD ng munting  | seryosong sinabi ng munting | true true false false
RBD ng munting prinsipe  | sinabi ng munting prinsipe | true false false false
ang JJD NNC PRO  | ang matandang dagang iyon | false true true true
sabi ng NNC ,  | sabi ng hari , | false false true false
ng NNC , QOT  | ng hari , QOT | false true false false
ang PRI sa PRSP  | ang lahat sa kanya | false true false true
JJD CCT mga NNC  | Mahilig sa mga bilang | true true false true
mga NNC ang NNC  | mga bilang ang matatanda | false true false true
Talaga ngang JJD ang  | Talaga ngang kakaiba ang | false false true false
RBI JJD ang matatanda  | ngang kakaiba ang matatanda | true true false false
